Name,Cuisine,Ranking,Rating,Price,ReviewCount,Reviews,URL_TA
Verona Restaurant,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",1733.0,3.5,Medium,82.0,"[['Great food but shabby service', 'great pizza'], ['12/18/2017', '12/13/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d10028106-Reviews-Verona_Restaurant-Berlin.html
Kreuzburger,"['Fast Food', 'Vegetarian Friendly']",1734.0,4.0,Low,29.0,"[['Quick, huge and tasty', 'Quality Fast Food'], ['11/01/2017', '10/27/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d10810044-Reviews-Kreuzburger-Berlin.html
La Cascina,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",1736.0,4.5,High,31.0,"[['Best Italian Cuisine in all Berlin!', 'Tutto fantastico'], ['07/11/2017', '09/14/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1036951-Reviews-La_Cascina-Berlin.html
Keb'up House,"['Turkish', 'Middle Eastern']",1737.0,4.5,Low,17.0,"[['Best Döner in Berlin', 'Best döner in the world!'], ['12/25/2017', '10/07/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d10046931-Reviews-Keb_up_House-Berlin.html
Brezel Company,"['German', 'Cafe', 'European']",1739.0,4.5,Low,27.0,"[['Perfect breakfast', 'Great for breakfast, lunch or anytime in t...'], ['05/29/2017', '05/02/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1965641-Reviews-Brezel_Company-Berlin.html
Happy Buddha,['Chinese'],1740.0,4.5,Medium,20.0,"[['No surprise that the Buddha looks so happy...'], ['07/14/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2543317-Reviews-Happy_Buddha-Berlin.html
Lusiada,"['Seafood', 'European', 'Portuguese']",1743.0,4.0,Medium,38.0,"[['vinho verde fake', 'Fantastic!!'], ['09/20/2017', '09/16/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1340321-Reviews-Lusiada-Berlin.html
Chinarestaurant Aroma,"['Chinese', 'Asian', 'Vegetarian Friendly']",1745.0,4.0,Medium,112.0,"[['Good food, well served', 'Good Chinese meals'], ['07/03/2017', '06/30/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1956648-Reviews-Chinarestaurant_Aroma-Berlin.html
Sudblock,['German'],1746.0,4.5,Low,21.0,"[['Very good bar/beer garden with decent food...', 'Great queer hangout and tasty eats'], ['05/23/2017', '04/10/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d10724226-Reviews-Sudblock-Berlin.html
San Marco,"['Italian', 'Pizza', 'European', 'Mediterranean', 'Vegetarian Friendly']",1747.0,3.5,Medium,114.0,"[['Good value for the money', 'Pleasant Italian restaurant.'], ['01/04/2018', '12/01/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d4112651-Reviews-San_Marco-Berlin.html
Sagers Kaffeeroesterei,['Cafe'],1748.0,4.5,Medium,28.0,"[['Great authentic coffee with a great owner', 'Hidden gem under a railway'], ['12/04/2016', '04/22/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d6496773-Reviews-Sagers_Kaffeeroesterei-Berlin.html
Mustafa Demir’s Gemuse Kebap,"['Fast Food', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Halal']",1749.0,4.0,Low,29.0,"[['Small Turkish place at Hackescher Markt.', 'Very very good discover'], ['11/14/2017', '08/21/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d11963279-Reviews-Mustafa_Demir_s_Gemuse_Kebap-Berlin.html
McDonald's,"['American', 'Fast Food']",1750.0,3.5,Low,90.0,"[['Average', ""Check Point Charlie McDonald's -- Very goo...""], ['01/10/2018', '01/06/2018']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d6280580-Reviews-McDonald_s-Berlin.html
Mazzini,"['Italian', 'Mediterranean', 'European', 'Wine Bar']",1753.0,4.5,Medium,35.0,"[['Original small excellent Italian', 'Authentic and professional italian trattor...'], ['06/23/2016', '03/21/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d7289509-Reviews-Mazzini-Berlin.html
Sushi Bar Akiko Gastronomie,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly']",1754.0,4.0,Medium,70.0,"[['Cheap but good food!', 'Yuck'], ['08/11/2017', '05/30/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1969475-Reviews-Sushi_Bar_Akiko_Gastronomie-Berlin.html
Khwan,"['Barbecue', 'Thai']",1755.0,4.0,Medium,20.0,"[['Great food but mind the bathroom', 'Felt like being back in holidays'], ['12/30/2017', '11/19/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d12632128-Reviews-Khwan-Berlin.html
LuLa Deli deluxe,['International'],1756.0,4.0,Medium,52.0,"[['Lovely deli in Friedenau', 'Lovely homemade food and drinks'], ['12/05/2015', '07/12/2015']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2078399-Reviews-LuLa_Deli_deluxe-Berlin.html
Golgatha Biergarten im Viktoriapark,"['German', 'Bar', 'European', 'Pub', 'Central European', 'Vegetarian Friendly']",1757.0,4.0,Low,58.0,"[['The best Biergarten !!!', 'Great vibe inside of a city park'], ['06/13/2017', '01/08/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d3264662-Reviews-Golgatha_Biergarten_im_Viktoriapark-Berlin.html
